emp_no,first_name,last_name,title,birth_date,from_date,to_date
10013,Eberhardt,Terkki,Senior Staff,1963-06-07,1985-10-20,9999-01-01
10068,Charlene,Brattka,Senior Staff,1962-11-26,1987-08-07,9999-01-01
10111,Hugo,Rosis,Engineer,1963-08-29,1988-12-19,9999-01-01
10133,Giri,Isaak,Engineer,1963-12-12,1985-12-15,9999-01-01
10147,Kazuhito,Encarnacion,Senior Staff,1964-10-13,1987-12-18,9999-01-01
10168,Dharmaraja,Stassinopoulos,Senior Staff,1964-09-11,1986-12-06,9999-01-01
10181,Sibyl,Nooteboom,Senior Engineer,1963-01-22,1988-06-22,9999-01-01
10190,Arve,Fairtlough,Engineer,1964-12-11,1986-06-23,9999-01-01
10214,Tadahiko,Ciolek,Senior Staff,1962-04-14,1988-02-29,9999-01-01
10222,Tze,Nourani,Assistant Engineer,1962-09-21,1986-06-08,9999-01-01
10242,Lunjin,Ozeri,Engineer,1964-02-22,1988-01-18,9999-01-01
10271,Sham,Eastman,Engineer,1962-04-24,1986-05-23,9999-01-01
10273,Baocai,Lieblein,Senior Staff,1962-08-29,1985-11-06,9999-01-01
10277,Isaac,Schwartzbauer,Senior Staff,1964-08-15,1985-06-16,9999-01-01
10291,Dipayan,Seghrouchni,Senior Staff,1965-01-23,1987-03-30,9999-01-01
10301,Lucien,Staudhammer,Senior Staff,1962-08-26,1988-05-23,9999-01-01
10436,Yahiko,Lammel,Senior Staff,1963-06-17,1988-01-30,9999-01-01
10474,Kenton,Garnham,Engineer,1962-02-24,1987-02-21,9999-01-01
10476,Kokou,Iisaka,Senior Staff,1965-01-01,1987-09-20,9999-01-01
10501,Susuma,Larfeldt,Engineer,1962-09-09,1988-09-08,9999-01-01
10526,Kwangho,Theuretzbacher,Engineer,1963-12-31,1988-02-27,9999-01-01
10536,Yechiam,Sambasivam,Senior Staff,1964-10-29,1988-10-07,9999-01-01
10551,Jeong,Rijsenbrij,Engineer,1963-10-07,1988-08-06,9999-01-01
10569,Sreenivas,Bashian,Senior Staff,1962-12-03,1987-03-13,9999-01-01
10571,Fun,Varman,Assistant Engineer,1963-12-10,1985-02-24,9999-01-01
10590,Yongqiao,Kalloufi,Senior Staff,1963-10-01,1986-04-09,9999-01-01
10606,Toshiki,Marakhovsky,Engineer,1964-03-04,1987-05-02,9999-01-01
10648,Marlo,Ratnaker,Engineer,1962-01-19,1988-02-16,9999-01-01
10656,Sanjay,Litzkow,Engineer,1962-06-18,1988-06-21,9999-01-01
10670,Shunichi,McAffer,Senior Staff,1962-04-23,1988-03-23,9999-01-01
10686,Avishai,Azadmanesh,Senior Engineer,1963-05-25,1987-05-17,9999-01-01
10688,Xiaopeng,Lanphier,Senior Staff,1964-02-28,1986-04-13,9999-01-01
10699,Hatim,Deverell,Engineer,1964-02-02,1985-11-17,9999-01-01
10716,Aiman,Constantine,Engineer,1963-10-08,1987-08-12,9999-01-01
10735,Morrie,Gewali,Senior Staff,1964-09-12,1985-10-29,9999-01-01
10763,Giap,Bolsens,Engineer,1962-04-15,1987-02-23,9999-01-01
10809,Shim,Feldhoffer,Engineer,1962-01-06,1988-02-25,9999-01-01
10832,Hidde,Bergere,Senior Staff,1964-08-29,1986-10-11,9999-01-01
10863,Byong,Bhattacharjee,Engineer,1962-08-05,1985-12-25,9999-01-01
10877,Subir,Biron,Senior Staff,1964-09-11,1986-06-06,9999-01-01
10907,JiYoung,Luks,Senior Staff,1963-09-26,1988-12-25,9999-01-01
10978,Huiqun,Bellone,Engineer,1962-09-24,1985-05-18,9999-01-01
11010,Jaques,Narwekar,Senior Staff,1963-03-20,1986-12-18,9999-01-01
11036,Muzhong,Greenaway,Senior Staff,1962-09-04,1988-10-24,9999-01-01
11058,Shigeaki,Cyre,Senior Staff,1962-04-24,1985-06-07,9999-01-01
11059,Shawna,Jarecki,Engineer,1962-05-26,1986-11-17,9999-01-01
11109,Chinho,Stamatiou,Senior Staff,1964-11-05,1985-03-29,9999-01-01
11149,Domenico,Imataki,Senior Staff,1964-06-28,1987-08-26,9999-01-01
11198,Leif,Gini,Senior Staff,1963-05-12,1988-02-07,9999-01-01
11261,Claudi,Demri,Engineer,1963-09-05,1987-12-06,9999-01-01
11264,Uma,Oehlmann,Engineer,1964-03-15,1986-10-09,9999-01-01
11283,Shmuel,Codenie,Senior Staff,1964-02-25,1987-06-30,9999-01-01
11286,Joydip,Gini,Senior Staff,1964-12-04,1988-02-16,9999-01-01
11287,Sreenivas,Farrag,Senior Staff,1963-08-16,1987-08-12,9999-01-01
11313,Paraskevi,Kusalik,Senior Staff,1962-06-21,1986-02-28,9999-01-01
11318,Gopalakrishnan,Unno,Senior Staff,1964-09-09,1986-01-25,9999-01-01
11362,Tooru,Hockney,Engineer,1963-11-24,1987-10-29,9999-01-01
11363,Jenwei,Milicia,Senior Staff,1962-04-27,1986-03-16,9999-01-01
11394,Masadi,Uhrik,Senior Staff,1964-01-02,1988-12-20,9999-01-01
11435,Utpal,Lichtman,Senior Staff,1962-05-29,1986-10-15,9999-01-01
11486,Itzchak,Ramaiah,Senior Staff,1963-03-05,1985-05-31,9999-01-01
11488,Houman,Veldwijk,Engineer,1962-11-18,1987-08-25,9999-01-01
11512,Nidapan,Hagimont,Engineer,1962-09-24,1987-09-01,9999-01-01
11545,Bartek,Lieblein,Senior Engineer,1962-08-01,1986-09-19,9999-01-01
11546,Duro,Vuskovic,Senior Staff,1964-12-22,1987-06-30,9999-01-01
11551,Subhrajyoti,Gonthier,Senior Engineer,1962-08-28,1986-05-09,9999-01-01
11565,Yoshinari,Sankaranarayanan,Engineer,1963-09-02,1988-02-03,9999-01-01
11610,Eirik,Sidhu,Engineer,1962-07-17,1985-10-18,9999-01-01
11639,Khatoun,Herath,Engineer,1964-05-02,1987-02-18,9999-01-01
11670,Evgueni,Kroon,Senior Staff,1964-09-25,1985-05-17,9999-01-01
11682,Dante,Zumaque,Senior Staff,1963-03-13,1986-11-27,9999-01-01
11757,Jackson,Meriste,Senior Engineer,1964-05-22,1987-04-07,9999-01-01
11766,Nimmagadda,Berztiss,Engineer,1964-10-10,1987-10-27,9999-01-01
11775,Sajjad,Xiaoshan,Engineer,1963-06-16,1988-11-15,9999-01-01
11798,Kwan,Quaggetto,Senior Staff,1964-08-14,1987-12-10,9999-01-01
11808,Morrie,Rosiles,Engineer,1962-09-03,1986-05-17,9999-01-01
11826,Carrsten,Rotem,Engineer,1964-02-20,1988-07-06,9999-01-01
11840,Jayson,Hofman,Senior Staff,1962-07-27,1986-12-21,9999-01-01
11863,Stella,Peng,Engineer,1962-07-03,1988-12-16,9999-01-01
11990,Chanjung,Matheson,Engineer,1964-11-24,1988-09-05,9999-01-01
12014,Apostol,Lunt,Engineer,1962-04-30,1988-10-11,9999-01-01
12019,Mads,Ossenbruggen,Senior Staff,1962-09-05,1986-02-17,9999-01-01
12031,Achilleas,Vendrig,Senior Engineer,1962-01-11,1987-02-10,9999-01-01
12039,Kazuhide,Junet,Senior Staff,1964-12-03,1988-04-04,9999-01-01
12056,Nirmal,Genther,Senior Engineer,1962-09-27,1988-06-02,9999-01-01
12064,Heping,Silva,Assistant Engineer,1962-01-22,1986-03-14,9999-01-01
12065,Moto,Roohalamini,Engineer,1964-04-10,1987-06-18,9999-01-01
12066,Junichi,Deville,Senior Staff,1963-06-01,1985-09-20,9999-01-01
12085,Hugh,Rouquie,Senior Staff,1964-04-01,1986-07-03,9999-01-01
12199,Huan,Poupard,Senior Staff,1962-11-04,1985-06-22,9999-01-01
12302,Matt,Plessier,Senior Staff,1962-02-14,1987-01-28,9999-01-01
12307,Sarita,Schlumberger,Engineer,1964-09-15,1985-02-23,9999-01-01
12404,Manu,Kulisch,Engineer,1964-11-16,1985-12-14,9999-01-01
12410,Masanao,Besselaar,Technique Leader,1963-08-15,1988-04-28,9999-01-01
12444,Monique,Reinhard,Senior Staff,1962-11-29,1987-08-16,9999-01-01
12446,Xiaoqiang,Keustermans,Senior Staff,1964-01-05,1987-11-06,9999-01-01
12472,Leah,Madeira,Engineer,1962-07-19,1985-12-10,9999-01-01
12481,Ipke,Uludag,Assistant Engineer,1963-07-09,1985-05-11,9999-01-01
12546,Luisa,Shobatake,Senior Staff,1964-03-10,1988-06-05,9999-01-01
12578,Tamiya,Perin,Senior Staff,1964-01-22,1986-07-28,9999-01-01
12649,Odinaldo,Luon,Senior Staff,1962-08-22,1985-10-05,9999-01-01
12669,Caolyn,Roisin,Senior Staff,1962-02-09,1987-05-30,9999-01-01
12675,Dekang,Krohm,Senior Staff,1963-04-22,1987-11-20,9999-01-01
12711,Yechiam,Jiafu,Senior Staff,1964-08-12,1986-11-21,9999-01-01
12738,Luigi,Hammerschmidt,Engineer,1962-09-10,1985-09-23,9999-01-01
12771,Erez,Luks,Senior Staff,1964-02-06,1988-06-02,9999-01-01
12780,Premal,Puppo,Technique Leader,1963-01-24,1987-10-21,9999-01-01
12783,Mahendra,Ginneken,Engineer,1962-02-02,1985-11-13,9999-01-01
12804,Marlo,Rosti,Senior Staff,1962-03-20,1987-02-15,9999-01-01
12817,Bokyung,Rosti,Engineer,1962-06-17,1985-12-24,9999-01-01
12823,Pranav,Lanteri,Senior Engineer,1962-08-15,1985-05-11,9999-01-01
12832,Mabo,Cusworth,Senior Staff,1962-10-24,1988-04-25,9999-01-01
12833,Jaideep,Tibblin,Senior Engineer,1962-02-01,1987-06-04,9999-01-01
12838,Danel,Avouris,Senior Staff,1962-12-18,1986-09-24,9999-01-01
12884,Paddy,Zyda,Assistant Engineer,1964-09-28,1988-11-09,9999-01-01
12896,Mircea,Delgrande,Senior Engineer,1963-10-12,1986-10-29,9999-01-01
12943,Kazuhide,Zucker,Senior Staff,1963-01-21,1988-12-15,9999-01-01
12954,Dinkar,Walston,Senior Staff,1964-11-10,1986-05-08,9999-01-01
12963,Kyoichi,Azevdeo,Senior Staff,1962-11-22,1987-06-09,9999-01-01
12980,Jayson,Delgrange,Engineer,1962-10-09,1988-02-05,9999-01-01
12990,Kristina,Benaini,Engineer,1964-06-08,1985-07-12,9999-01-01
12993,Subhash,Sessa,Senior Staff,1962-01-27,1986-08-25,9999-01-01
13014,Gianluca,Budinsky,Engineer,1962-06-01,1986-01-21,9999-01-01
13018,Toshimi,Moehrke,Senior Staff,1964-03-14,1987-05-10,9999-01-01
13020,Shigeichiro,Suppi,Senior Staff,1962-06-26,1987-07-06,9999-01-01
13028,Mayumi,Siksek,Senior Staff,1963-08-21,1985-10-28,9999-01-01
13032,Mohit,Standera,Senior Staff,1962-12-12,1987-06-10,9999-01-01
13039,Alain,Akazan,Engineer,1963-08-27,1985-10-29,9999-01-01
